scenario,method,traj_id,traj_pos_rmse_m,traj_vel_rmse_mps
test,NoGraphResidual,46,906.6511196136753,1.1281447762969814
test,NoGraphResidual,47,3900.1852464945355,5.883760155164051
test,NoGraphResidual,48,632.7377250860615,0.5424473008244656
test,NoGraphResidual,49,1927.1745183276885,3.6359376983135228
test,NoGraphResidual,50,4530.616301281059,7.2710709547596055
test,NoGraphResidual,51,2410.9121025942472,2.2641700748530367
test,NoGraphResidual,52,1407.0961805617883,1.8303036810808901
test,NoGraphResidual,53,16453.0136727882,15.280098187877584
test,NoGraphResidual,54,2648.728214405708,4.888057934733362
test,NoGraphResidual,55,3853.0586759165894,5.493578067317853
test,NoGraphResidual,56,486.4058365871554,0.870274837337074
test,NoGraphResidual,57,498.39311034217235,0.949352934770962
test,NoGraphResidual,58,6758.095026595531,8.970431273611162
test,NoGraphResidual,59,7692.25056239297,5.336557478584812
test,NoGraphResidual,60,1400.078266801226,2.242834029231616
test,NoGraphResidual,61,22098.777338644784,25.29653765112641
test,NoGraphResidual,62,10488.851576061132,10.970919365546187
test,NoGraphResidual,63,2508.1228980911465,2.0684925028066847
test,LearnedNoiseAdaptive,0,12908.008613991678,15.68119561792315
test,LearnedNoiseAdaptive,1,142.1915617647637,0.6694216517043957
test,LearnedNoiseAdaptive,2,300.25092514283375,1.1407219316372696
test,LearnedNoiseAdaptive,3,1953.0837880412141,3.343333546882743
test,LearnedNoiseAdaptive,4,69.84997868261165,0.7511817878216089
test,LearnedNoiseAdaptive,5,1198.1373237619343,2.1694153101199825
test,LearnedNoiseAdaptive,6,3969.7893229270258,5.341488068625704
test,LearnedNoiseAdaptive,7,8800.899914738215,6.5845492846091105
test,LearnedNoiseAdaptive,8,313.80786511130464,1.2019815434231769
test,LearnedNoiseAdaptive,9,258.49016341568205,0.7429162507658683
test,LearnedNoiseAdaptive,10,6734.826433390443,7.184355554075872
test,LearnedNoiseAdaptive,11,7885.449966099491,9.968286332445887
test,LearnedNoiseAdaptive,12,1024.1056607074806,1.8139692285462996
test,LearnedNoiseAdaptive,13,626.8187811160512,0.8449723628970811
test,LearnedNoiseAdaptive,14,740.0027174363785,1.9992168444137173
test,LearnedNoiseAdaptive,15,1104.598104716822,1.468332531143952
test,LearnedNoiseAdaptive,16,969.6107033596506,1.810376035620549
test,LearnedNoiseAdaptive,17,2478.0790737774787,2.0548927047877203
test,LearnedNoiseAdaptive,18,904.0324943574362,2.3670015679873213
test,LearnedNoiseAdaptive,19,1036.9884983205313,3.2436855012355643
test,LearnedNoiseAdaptive,20,1880.049600022249,3.521477752945073
test,LearnedNoiseAdaptive,21,4283.551173625605,4.692117481391356
test,LearnedNoiseAdaptive,22,1004.8327208969932,2.9650977669062475
test,LearnedNoiseAdaptive,23,1518.6733655376577,2.1870689944454895
test,LearnedNoiseAdaptive,24,5643.343655574291,6.795863077037344
test,LearnedNoiseAdaptive,25,999.7125239169528,2.7809805925233144
test,LearnedNoiseAdaptive,26,477.6592816890075,2.08548370082949
test,LearnedNoiseAdaptive,27,6362.985105364718,6.723873886856107
test,LearnedNoiseAdaptive,28,5241.729358209898,9.316830183250595
test,LearnedNoiseAdaptive,29,1023.5805866109187,2.6631903352483057
test,LearnedNoiseAdaptive,30,980.2246083049255,3.724265754069728
test,LearnedNoiseAdaptive,31,212.01987027532718,0.6219098333752171
test,LearnedNoiseAdaptive,32,4129.328777672675,6.4954496112505975
test,LearnedNoiseAdaptive,33,14517.621688108353,17.222441962487743
test,LearnedNoiseAdaptive,34,1305.3122968821842,2.3598147347983347
test,LearnedNoiseAdaptive,35,3519.164475278239,4.185317311475647
test,LearnedNoiseAdaptive,36,6970.492753432838,6.272757650534479
test,LearnedNoiseAdaptive,37,12998.424255308619,17.10491241166014
test,LearnedNoiseAdaptive,38,1689.8729860324836,3.1848820411772896
test,LearnedNoiseAdaptive,39,781.629967629549,2.0150902817898717
test,LearnedNoiseAdaptive,40,448.94952883434195,1.1722755192912424
test,LearnedNoiseAdaptive,41,11438.262869130782,9.980978187335555
test,LearnedNoiseAdaptive,42,1961.8090761084359,3.9054201261421873
test,LearnedNoiseAdaptive,43,16398.394811806076,19.30181009142303
test,LearnedNoiseAdaptive,44,2157.002639273665,3.5914055341621323
test,LearnedNoiseAdaptive,45,425.86108776018676,0.8304342108526201
test,LearnedNoiseAdaptive,46,875.1901358385066,1.7673805862347118
